剧本ID,剧本文件名,剧目名称,剧目别名,全本出处,是否折子戏,时代背景,故事地点,主题关键词,主题分类,选材来源,具体来源,剧本形态,主要行当,角色-行当映射,主角,主要唱腔声腔,主要板式,唱法备注,剧情简介,备注
hanju_0101,三星归位.pdf,三星归位,,莲台山,是,周代,周朝宫廷；法场；两军阵前,陷害忠良；私劫法场；刺王杀驾；归位封神,权斗；征战；复仇,历史演义；民间传说,汉剧传统剧本“列国戏”全本《莲台山》的完结篇，上接《青石岭》,整理本,一末；三生；四旦；五丑；七小；八贴；十杂,周穆王（三生）；苏银庄（八贴）；贾翠屏（四旦）；王洪（七小）；孟喜（十杂）；刘荣（一末）；贾公道（五丑）；七煞张林（十杂）；雷天豹（七小）；二殿下（四旦代）,苏银庄；王洪；孟喜,二黄；西皮,二流；导板；摇板,引；诗；念；叫头,苏银庄得胜回朝后，遭贾翠屏陷害，周穆王欲斩苏银庄。部将王洪、孟喜私劫法场，救出苏银庄，并诛杀贾翠屏和贾太师。穆王惊魂未定，命苏银庄带王洪、孟喜征战七煞张林。三人先后被张林的无影箭射死。后雷天豹下山，用斩仙剑杀死张林。穆王建庙封神，苏银庄等归位。,文件夹: 商周 | 页数: 28
hanju_0102,临潼斗宝.pdf,临潼斗宝,,伍子胥系列,是,春秋,临潼；红雀山,斗宝；结拜；联姻；破计,权斗；征战,历史演义；民间传说,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,十杂；五丑；三生；二净；六外；一末；七小,秦穆公（十杂）；姬燕（十杂）；百里奚（五丑）；甘英（三生）；柳展雄（二净）；楚平王（六外）；伍奢（一末）；伍员（七小）；郑庄公（六外）；卫灵公（三生）；燕成公（二净）；齐景公（五丑）；吴姬光（七小）；卞庄（二净）；蒯聩（六外）,伍员；秦穆公；柳展雄,西皮,摇板；慢西皮；二流；一字板；朵板,引；诗；念,秦穆公假借周天子诏命，设临潼斗宝大会，召集十七国诸侯赴会，意图一举歼灭。秦买通勇士柳展雄拦路劫宝，制造问罪借口。柳展雄被伍员打败，二人结为兄弟，柳将秦穆公诡计告知伍员。大会期间，伍员力举千斤铜鼎，压服秦将，抓住秦穆公，逼其与楚联姻，退还诸侯宝物，并送出潼关。秦穆公无奈依从。,文件夹: 商周 | 页数: 34
hanju_0103,伍奢骂相.pdf,伍奢骂相,,伍子胥系列,是,春秋,郢都,力谏；父纳子妻；奸臣谗言,权斗；孝义,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列,整理本,一末；二净；五丑,伍奢（一末）；费无极（二净）；楚平王（五丑）,伍奢,西皮,摇板；一字板；数板；流水；导板；慢西皮,念,楚平王听信费无极谗言，纳太子建之妻为妾。伍奢上殿力谏，平王不从，欲杀伍奢。费无极又进谗言，逼伍奢修书召其子伍尚、伍员进京，欲一并斩首。伍奢在朝房怒骂费无极，金殿上痛斥平王，最终被押入监牢。,文件夹: 商周 | 页数: 10
hanju_0104,伍申会.pdf,伍申会,长亭会；路会,伍子胥系列,是,春秋,樊城；三岔路口,借兵报仇；忠义抉择；誓不两立,复仇；孝义；权斗,历史演义；民间传说,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,三生,伍员（三生）；申包胥（三生）,伍员；申包胥,西皮,垛子；快板,,楚平王听信费无极谗言，杀害伍奢、伍尚父子，并派武城黑捉拿伍员。伍员突围后欲往吴国借兵报仇，途中遇到出使归来的故友申包胥。伍员哭诉冤仇，发誓伐楚。申包胥劝阻未果，最终放伍员逃往吴国，二人约定各为其主。,文件夹: 商周 | 页数: 6
hanju_0105,别母刺僚.pdf,别母刺僚,,伍子胥系列,是,春秋,吴国,行刺；孝义；复仇,权斗；孝义；复仇,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列,整理本,三生；十杂；七小；九夫；四旦；五丑；一末,伍员（三生）；专诸（十杂）；姬光（七小）；王僚（三生）；专母（九夫）；专妻（四旦）；专毅（七小）；伯嚭（三生）；被离（五丑）；孙武子（一末）；刘小二（五丑）,伍员；专诸；姬光,西皮,散板；摇板；二流；导板,引；诗；念；叫头,伍员逃出昭关后，偶遇专诸，结拜金兰。伍员至吴国吹箫乞食，遇姬光。姬光因王僚霸位不服，伍员荐专诸行刺。专诸孝母不忍离别，专母自缢以断其念。姬光设宴请王僚，专诸借献鱼之机，鱼腹藏剑刺死王僚，自身亦被诛杀。姬光即位，封赏众臣，并命伍员伐楚复仇。,文件夹: 商周 | 页数: 18
hanju_0106,卧薪尝胆.pdf,卧薪尝胆,,吴越争雄,否,春秋时期,会稽；吴国；越国,卧薪尝胆；忍辱负重；复国雪耻；美人计,征战；权斗；复仇,历史演义；古典文学,汉剧传统剧本“列国戏”系列之《吴越争雄》的故事；《史记》；宋代苏轼《拟孙权答曹操书》,整理本,一末；三生；四旦；五丑；六外；七小；八贴；九夫；十杂,范蠡（一末）；行人曳庸（一末）；文种（三生）；勾践（三生）；胥犴（三生）；越妃（四旦）；吴妃（四旦）；伯嚭（五丑）；王孙骆（五丑）；包坏事（五丑）；伍员（六外）；王孙雄（六外）；太史计倪（六外）；王子姑曹（七小）；司马皋如（七小）；灵姑浮（七小）；太子（七小）；西施（八贴）；郑旦（八贴）；秋鸿（八贴）；春燕（八贴）；东施（八贴）；西施母（九夫）；夫差（十杂）；诸稽郢（十杂）；中军（十杂）,勾践；夫差；范蠡；文种；西施,二黄；西皮,导板；慢板；二流；摇板；散板,引；诗；念；叫头；导板,吴王夫差为报父仇兴兵伐越，越王勾践不听范蠡、文种坚守之策，亲自率兵应战，战败被俘。勾践利用吴将伯嚭贪财好色，贿赂求和，得以苟活。夫差病，文种献策使勾践尝粪卜疾，夫差信其忠诚，放归越国。勾践回国后卧薪尝胆，励精图治，又将美女西施、郑旦献与夫差，以迷惑吴王。伍员屡谏夫差杀勾践，夫差不听，反赐死伍员。越国逐渐强盛，勾践兴兵伐吴，大败吴军，夫差自杀，越国雪耻。,文件夹: 商周 | 页数: 48
hanju_0107,反昭关.pdf,反昭关,,伍子胥,是,春秋,昭关；皇城,复仇；兵变；忠奸斗争,复仇；权斗,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,四旦；二净；五丑；三生；十杂,无祥公主（四旦）；费无极（二净）；平王（五丑）；申包胥（三生）；伍员（三生）；伍辛（十杂）；武霸（十杂）；下旨人（五丑）,伍员；申包胥,西皮,慢板；垛子；摇板；散板；导板；快板,引；诗；叫头,楚平王闻伍员兴兵复仇，昭关失守，惊吓而死。费无极建议无祥公主命申包胥挂帅，调武霸为先锋抵御。申包胥因与伍员有同乡结拜之情，欲退兵，武霸不允，被伍员之子伍辛射死。申包胥兵败，伍员围城，无祥公主坠城而死，费无极被斩。伍员寻得平王尸首，鞭尸八百以泄仇恨。,文件夹: 商周 | 页数: 16
hanju_0108,吵改嫁.pdf,吵改嫁,,蝴蝶梦（又名南华堂）,是,战国,,寡妇改嫁；打公骂婆；家庭冲突,讽世；孝义,戏曲传统；民间传说,汉剧传统“列国戏”庄周系列故事之一,整理本,八贴；一末；五丑,贾氏（八贴）；公公（一末）；婆婆（五丑）；桂芳（八贴）,贾氏,西皮,散板；一字板,唱；念白,贾氏丈夫去世，欲改嫁，遭公婆和儿子桂芳阻拦。贾氏以公公曾言“坟土一干可改嫁”为由，吵闹不休，打公骂婆，甚至装死威胁。最终不顾阻拦，决意改嫁而去。,文件夹: 商周 | 页数: 12
hanju_0109,哭秦庭.pdf,哭秦庭,,伍子胥系列,是,春秋时期,秦国,哭秦庭；搬兵求救；忠义,权斗；孝义,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,三生；七小；十杂,申包胥（三生）；秦哀公（三生）；子蒲（七小）；子虎（十杂）,申包胥,二黄；西皮,摇板；垛子；一字板；慢二黄；二流；导板；拿眼；回龙；反二黄；反二流；滚板；慢西皮,引；诗；念；叫头；哭头；导板,楚将伍子胥为报父仇，借吴兵伐楚，攻破郢都，鞭尸平王。申包胥为救楚国，前往秦国求救。秦哀公起初不愿发兵，申包胥在秦庭痛哭七日七夜，水浆不入，感动秦哀公及朝臣、后妃，最终秦王允诺发兵，命子蒲、子虎率军救楚。,文件夹: 商周 | 页数: 26
hanju_0110,大劈棺.pdf,大劈棺,,蝴蝶梦（又名南华堂）,是,战国,南华堂,试妻；劈棺；改嫁,孝义；情爱；讽世,古典文学；民间传说,汉剧传统“列国戏”庄周系列故事之一,整理本,六外；八贴；七小；五丑；四旦,庄周（六外）；田氏（八贴）；王孙（七小）；小二（五丑）；童男（五丑）；童女（四旦）,庄周；田氏,二黄；西皮；反调；平板,二流；平板；摇板；导板；散板；反二流,引；诗；念；叫头；哭头；导板,庄周郊外偶遇寡妇扇坟，回家告知其妻田氏。田氏大骂贾氏，表示自己誓作节义之妇。庄周欲试探田氏真情，伪装病死，变作楚国王孙前往吊丧。田氏一见王孙，顿生爱慕之意，以诗相挑，遂成婚礼。入洞房后，王孙忽然心痛，谓须用亲人脑髓合药医治。田氏贪恋新欢，急往灵柩劈庄周棺取脑髓，庄周突起，责问田氏，田氏羞愧自杀。,文件夹: 商周 | 页数: 14
hanju_0111,大回朝.pdf,大回朝,,封神榜,是,商代,朝歌,忠臣直谏；暴政；兵谏,权斗；征战；讽世,历史演义；民间传说,汉剧传统剧本“列国戏”《封神榜》系列故事之一折,整理本,二净；五丑；十杂,闻仲（二净）；费仲（五丑）；尤浑（五丑）；纣王（十杂）,闻仲,二黄；西皮,导板；二流；数板,引；诗；念,太师闻仲征讨北海得胜回朝，见纣王受妲己蛊惑，炮烙虿盆残害忠良，比干剖心、姜后剜目、贾氏坠楼、黄家父子反出五关，闻仲力谏无果，怒打奸臣费仲、尤浑，决定前往五关搬请黄家父子兵谏。,文件夹: 商周 | 页数: 8
hanju_0112,太极图.pdf,太极图,,封神榜,是,商周,太华山；摩石崖；冀州；周营,背信弃义；仙魔斗法；封神,征战；权斗；神魔,古典文学；神话宗教,汉剧传统剧本“列国戏”《封神榜》系列故事之一折,整理本,一末；二净；三生；四旦；五丑；六外；七小；八贴；九夫；十杂,赤精子（三生）；姜子牙（一末）；殷洪（二净）；杨戬（七小）；慈航道人（五丑）；黄飞虎（六外）；苏护（三生）；庞弘（六外）；准提佛（九夫代）；杨戬化身（彩旦代）；马元（十杂）；殷洪化身（四旦代）；木吒（七小）；金吒（五丑）；哪吒（八贴代）；申公豹（五丑）,殷洪；赤精子；姜子牙,二黄；西皮,慢板；二流；散板；导板；原板,引；诗；念；叫头,赤精子命弟子殷洪下山助姜子牙伐纣，殷洪发誓不违师命。途中遇申公豹蛊惑，殷洪反投殷商，与姜子牙为敌。申公豹又请马元相助，子牙连败。准提佛收服马元。殷洪违誓，慈航道人携太极图至周营，交战时赤精子用太极图将殷洪化为飞灰。,文件夹: 商周 | 页数: 18
hanju_0113,子期听琴.pdf,子期听琴,,,否,春秋,汉邑马鞍山,知音；抚琴；结拜,求贤；孝义,历史演义；民间传说,汉剧早期的传统戏，为“列国戏”之知音故事的第一折,整理本,一末；三生；娃娃生；青袍,俞伯牙（三生）；钟子期（一末）；琴童（娃娃生）；船夫甲（青袍）；船夫乙（青袍）,俞伯牙；钟子期,西皮,慢板；摇板；一字板,引；诗；念；叫头,晋国大夫俞伯牙奉旨前往楚国修聘，中秋之夜行至马鞍山遇雨泊舟。雨过天晴后，伯牙抚琴自娱，樵夫钟子期闻声窃听。伯牙邀子期登舟，二人论琴律，子期对答如流，伯牙引为知己，结为兄弟。临别时相约次年中秋再会。,文件夹: 商周 | 页数: 10
hanju_0114,子期归天.pdf,子期归天,子期冒雨归,,是,春秋,马鞍山,知音难觅；病逝；孝道,孝义,历史演义；民间传说,汉剧早期传统戏，为“列国戏”之知音故事的一折,整理本,一末；九夫,钟子期（一末）；钟元甫（一末）；钟母（九夫）,钟子期,二黄,摇板；导板；二流,叫头；哭头,樵夫钟子期与俞伯牙在马鞍山别后，冒雨还家，却一病不起。父母钟元甫、钟母担忧其病情，子期在病榻上向父母讲述与伯牙相遇、谈琴、结拜的经过，并嘱托死后葬于马鞍山下，立碑以便伯牙访查。最终子期病逝，二老悲痛欲绝。,文件夹: 商周 | 页数: 4
hanju_0115,度白简.pdf,度白简,,,否,战国,南华县,度化修仙；知恩不报；贪心不足,神魔,民间传说；戏曲传统,汉剧传统“列国戏”庄周系列故事之一,整理本,三生；一末；七小；贴末；十杂；六外,庄周（三生）；白简（一末）；张从（七小）；李荣（贴末）；强盗甲（十杂）；强盗乙（六外）,庄周；白简,二黄；西皮,二流；导板；平板,引；诗；念；叫头；导板,庄周学道下山，路遇被强盗杀死的张从，用阴阳宝扇将其救活。张从反诬庄周盗其包裹，扭至南华县衙。庄周在县令白简面前将张从化为白骨，并点化白简，白简弃官随庄周出家，最终被度化成仙。,文件夹: 商周 | 页数: 20
hanju_0116,急子回国.pdf,急子回国,二子乘舟,,是,春秋,卫国；新台；莘野,父子冲突；兄弟情义；伦理悲剧；宫廷斗争,权斗；孝义；复仇,历史演义；古典文学,汉剧传统剧本“列国戏”系列故事之一折,整理本,一末；二净；三生；四旦；五丑；七小；十杂,卫宣公（二净）；宣姜（四旦）；急子（三生）；子寿（七小）；子朔（五丑）；左公子泄（一末）；右公子职（三生）；万能（十杂）,急子；子寿；宣姜,西皮,导板；慢西皮；慢板；二流；摇板；散板,引；诗；念；叫头；哭头；导板,急子私自回国，得知母亲已死，悲愤交加。宣姜因旧情欲与急子私奔，急子拘于伦理拒绝。卫宣公发现后，命急子持白旄出使齐国，暗中派子朔埋伏莘野截杀。子寿得知后驾舟追上急子，劝其逃走未果，遂灌醉急子，盗取白旄代兄赴死。急子醒后赶至，见子寿已死，愤而自刎。宣姜赶到，亦拔剑自刎于宣公面前。,文件夹: 商周 | 页数: 36
hanju_0117,战樊城.pdf,战樊城,下家书,伍子胥系列,是,春秋,樊城；京都,兄弟离别；奸臣陷害；复仇,复仇；权斗；孝义,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,三生；六外；一末；二净；十杂；九夫；七小；五丑,伍员（三生）；伍尚（六外）；伍奢（一末）；费无极（二净）；武城黑（十杂）；伍太君（九夫）；家将（七小）；下书人（五丑）；家院（一末）,伍员；伍尚,西皮,散板；垛子；摇板；一字板；快板；导板,念；赞子,伍员、伍尚兄弟镇守樊城，接到父亲伍奢家书，调二人回京加官。伍员疑有诈，劝兄勿回，伍尚不听，独返京都。伍尚至京，与父伍奢同被奸相费无极陷害，全家遭斩。伍员在樊城闻讯，欲兴兵复仇，楚将武城黑率兵围城。伍员战败，家将阵亡，危急时养由基在松林暗箭射死武城黑，伍员得以脱身。,文件夹: 商周 | 页数: 14
hanju_0118,打芦花.pdf,打芦花,单衣顺亲；鞭打芦花,,否,春秋时期,闵嗣翁家,继母虐待；芦花代棉；孝子劝父；家庭和睦,孝义,民间传说,传统民间传说“二十四孝”之一；汉剧“列国戏”,整理本,六外；四旦；七小；一末；九夫,闵嗣翁（六外）；李氏（四旦）；闵损（七小）；闵华（七小）；李公（一末）；李婆（九夫）,闵嗣翁；李氏；闵损,四平；二黄；西皮,四平；二黄小导板；西皮摇板,引；诗；念；叫头；哭头,闵嗣翁续弦李氏，李氏偏爱亲生之子闵华，给前房之子闵损穿芦花做的棉衣，而给闵华穿丝绵。冬日闵嗣翁带二子外出赴会，途中发现闵损寒冷，查看衣物后得知真相，怒而返家责问李氏，并请来李氏父母欲休妻。闵损跪求父亲留下继母，说出“母在一子寒，母去三子单”的道理，感动父亲和继母，最终全家和睦。,文件夹: 商周 | 页数: 28
hanju_0119,扳瑶琴.pdf,扳瑶琴,扳琴；碎琴,,是,春秋,汉邑马鞍山；集贤村,知音难觅；摔琴祭友；守信赴约,孝义；求贤,历史演义；民间传说,列国戏之知音故事的一折,整理本,三生；一末；娃娃生；青袍,俞伯牙（三生）；钟元甫（一末）；童儿（娃娃生）；船夫甲、乙（青袍）,俞伯牙；钟元甫,二黄,三眼；二流；摇板,引；诗；念；叫头；哭头；导板；狗血；赞子；炮头；扎半句,晋国大夫俞伯牙与樵夫钟子期结为知音，约定来年中秋再会。至期，俞伯牙携琴赴约，不见子期，遇其父钟元甫，方知子期已忧思成疾而亡。伯牙悲痛欲绝，至坟前祭奠，深感知音难再得，遂摔碎瑶琴，并赠金抚慰钟父，承诺照顾其双亲。,文件夹: 商周 | 页数: 10
hanju_0120,挡幽王.pdf,挡幽王,,,否,周代,骊山,逃亡；斥责；十大罪状；释放,权斗,历史演义,汉剧传统剧本“列国戏”系列故事之一,整理本,三生；二净；四旦,申侯（三生）；周幽王（二净）；褒姒（四旦）,申侯；周幽王；褒姒,西皮,慢垛子；导板；一字板,引；诗；念；叫头,犬戎入侵周朝，周幽王与褒姒逃至骊山，被申侯带兵阻拦。申侯历数幽王十大罪状，包括废太子、贬申后、宠褒姒、举烽火戏诸侯等。幽王与褒姒哀求，申侯最终放其逃走。,文件夹: 商周 | 页数: 6
hanju_0121,搜孤救孤.pdf,搜孤救孤,,八义图(又名赵氏孤儿),是,春秋,晋国,舍子救孤；舍身取义；忠奸斗争,权斗；孝义；复仇,历史演义；戏曲传统,传统汉剧“列国戏”《八义图》(又名《赵氏孤儿》)中的一折,整理本,一末；六外；八贴；十杂,公孙杵臼（一末）；程婴（六外）；程妻（八贴）；屠岸贾（十杂）,程婴；公孙杵臼,二黄；西皮,摇板；慢板；一字板；二流,叫头；念,晋景公时，奸臣屠岸贾残害赵盾一家，赵朔之妻庄姬将孤儿赵武藏于宫中。程婴受赵家门客之托，将孤儿救回家中。屠岸贾搜孤不得，下令十日内献出孤儿，否则杀尽全国同庚婴儿。程婴与公孙杵臼定计，程婴舍子，公孙杵臼舍命，由程婴向屠岸贾告发公孙杵臼藏孤。屠岸贾搜出程婴之子（冒充孤儿），将公孙杵臼与婴儿处死。程婴忍辱负重，抚养孤儿长大，最终报仇雪恨。,文件夹: 商周 | 页数: 20
hanju_0122,文昭关.pdf,文昭关,,伍子胥,是,春秋时期,昭关,一夜须白；乔装过关；借兵报仇,复仇；权斗,历史演义；戏曲传统,汉剧传统剧本“列国戏”《伍子胥》系列故事之一折,整理本,一末；三生；十杂,东皋公（一末）；伍员（三生）；皇甫讷（三生）；米南洼（十杂）,伍员,西皮；二黄,慢四皮；西皮摇板；西皮一字板；慢西皮；慢二黄；二流；二黄摇板；二黄导板,引；诗；念；叫头；哭头,春秋时期，楚平王父纳子媳，相国伍奢谏奏反遭灭门。其子伍员（子胥）逃至昭关，被画影图形缉拿。隐士东皋公收留伍员，伍员因焦虑一夜须发皆白。东皋公请好友皇甫讷乔扮伍员，假意出关被擒，伍员趁机混出昭关，前往吴国借兵报仇。,文件夹: 商周 | 页数: 16
hanju_0123,文王吐子.pdf,文王吐子,,封神榜,是,商代,西岐；朝歌；羑里；五关,救父出关；父食子肉；忠孝,孝义；权斗；神魔,古典文学；民间传说,汉剧传统剧本“列国戏”《封神榜》系列故事之一折,整理本,一末；二净；三生；六外,姬昌（一末）；南宫适（二净）；姬发（三生）；散宜生（六外）；黄飞虎（六外）；云中子（三生）；雷震子（二净）,姬昌；雷震子,西皮,导板；慢板；一字板；散板,引；诗；念,西伯侯姬昌被纣王囚于羑里，其长子伯邑考被妲己杀害并做成肉饼送给姬昌吃。凶讯传至西岐，散宜生设计用重赂买通费仲、尤浑，使姬昌获释并官复原职。黄飞虎恐其遭暗算，劝其连夜逃走。纣王闻报命殷破败、雷开追赶。危急时雷震子奉师命赶来，救姬昌回到西岐。姬昌想起父吃子肉，心痛难忍，呕出所食子肉。,文件夹: 商周 | 页数: 20
